actor_id,first_name,middle_name,last_name,last_update
1,PENELOPE,NULL,GUINESS,"2006-02-15 04:34:33"
2,NICK,NULL,WAHLBERG,"2006-02-15 04:34:33"
3,ED,NULL,CHASE,"2006-02-15 04:34:33"
4,JENNIFER,NULL,DAVIS,"2006-02-15 04:34:33"
5,JOHNNY,NULL,LOLLOBRIGIDA,"2006-02-15 04:34:33"
6,BETTE,NULL,NICHOLSON,"2006-02-15 04:34:33"
7,GRACE,NULL,MOSTEL,"2006-02-15 04:34:33"
8,MATTHEW,NULL,JOHANSSON,"2006-02-15 04:34:33"
9,JOE,NULL,SWANK,"2006-02-15 04:34:33"
10,CHRISTIAN,NULL,GABLE,"2006-02-15 04:34:33"
11,ZERO,NULL,CAGE,"2006-02-15 04:34:33"
12,KARL,NULL,BERRY,"2006-02-15 04:34:33"
13,UMA,NULL,WOOD,"2006-02-15 04:34:33"
14,VIVIEN,NULL,BERGEN,"2006-02-15 04:34:33"
15,CUBA,NULL,OLIVIER,"2006-02-15 04:34:33"
16,FRED,NULL,COSTNER,"2006-02-15 04:34:33"
17,HELEN,NULL,VOIGHT,"2006-02-15 04:34:33"
18,DAN,NULL,TORN,"2006-02-15 04:34:33"
19,BOB,NULL,FAWCETT,"2006-02-15 04:34:33"
20,LUCILLE,NULL,TRACY,"2006-02-15 04:34:33"
21,KIRSTEN,NULL,PALTROW,"2006-02-15 04:34:33"
22,ELVIS,NULL,MARX,"2006-02-15 04:34:33"
23,SANDRA,NULL,KILMER,"2006-02-15 04:34:33"
24,CAMERON,NULL,STREEP,"2006-02-15 04:34:33"
25,KEVIN,NULL,BLOOM,"2006-02-15 04:34:33"
26,RIP,NULL,CRAWFORD,"2006-02-15 04:34:33"
27,JULIA,NULL,MCQUEEN,"2006-02-15 04:34:33"
28,WOODY,NULL,HOFFMAN,"2006-02-15 04:34:33"
29,ALEC,NULL,WAYNE,"2006-02-15 04:34:33"
30,SANDRA,NULL,PECK,"2006-02-15 04:34:33"
31,SISSY,NULL,SOBIESKI,"2006-02-15 04:34:33"
32,TIM,NULL,HACKMAN,"2006-02-15 04:34:33"
33,MILLA,NULL,PECK,"2006-02-15 04:34:33"
34,AUDREY,NULL,OLIVIER,"2006-02-15 04:34:33"
35,JUDY,NULL,DEAN,"2006-02-15 04:34:33"
36,BURT,NULL,DUKAKIS,"2006-02-15 04:34:33"
37,VAL,NULL,BOLGER,"2006-02-15 04:34:33"
38,TOM,NULL,MCKELLEN,"2006-02-15 04:34:33"
39,GOLDIE,NULL,BRODY,"2006-02-15 04:34:33"
40,JOHNNY,NULL,CAGE,"2006-02-15 04:34:33"
41,JODIE,NULL,DEGENERES,"2006-02-15 04:34:33"
42,TOM,NULL,MIRANDA,"2006-02-15 04:34:33"
43,KIRK,NULL,JOVOVICH,"2006-02-15 04:34:33"
44,NICK,NULL,STALLONE,"2006-02-15 04:34:33"
45,REESE,NULL,KILMER,"2006-02-15 04:34:33"
46,PARKER,NULL,GOLDBERG,"2006-02-15 04:34:33"
47,JULIA,NULL,BARRYMORE,"2006-02-15 04:34:33"
48,FRANCES,NULL,DAY-LEWIS,"2006-02-15 04:34:33"
49,ANNE,NULL,CRONYN,"2006-02-15 04:34:33"
50,NATALIE,NULL,HOPKINS,"2006-02-15 04:34:33"
51,GARY,NULL,PHOENIX,"2006-02-15 04:34:33"
52,CARMEN,NULL,HUNT,"2006-02-15 04:34:33"
53,MENA,NULL,TEMPLE,"2006-02-15 04:34:33"
54,PENELOPE,NULL,PINKETT,"2006-02-15 04:34:33"
55,FAY,NULL,KILMER,"2006-02-15 04:34:33"
56,DAN,NULL,HARRIS,"2006-02-15 04:34:33"
57,JUDE,NULL,CRUISE,"2006-02-15 04:34:33"
58,CHRISTIAN,NULL,AKROYD,"2006-02-15 04:34:33"
59,DUSTIN,NULL,TAUTOU,"2006-02-15 04:34:33"
60,HENRY,NULL,BERRY,"2006-02-15 04:34:33"
61,CHRISTIAN,NULL,NEESON,"2006-02-15 04:34:33"
62,JAYNE,NULL,NEESON,"2006-02-15 04:34:33"
63,CAMERON,NULL,WRAY,"2006-02-15 04:34:33"
64,RAY,NULL,JOHANSSON,"2006-02-15 04:34:33"
65,ANGELA,NULL,HUDSON,"2006-02-15 04:34:33"
66,MARY,NULL,TANDY,"2006-02-15 04:34:33"
67,JESSICA,NULL,BAILEY,"2006-02-15 04:34:33"
68,RIP,NULL,WINSLET,"2006-02-15 04:34:33"
69,KENNETH,NULL,PALTROW,"2006-02-15 04:34:33"
70,MICHELLE,NULL,MCCONAUGHEY,"2006-02-15 04:34:33"
71,ADAM,NULL,GRANT,"2006-02-15 04:34:33"
72,SEAN,NULL,WILLIAMS,"2006-02-15 04:34:33"
73,GARY,NULL,PENN,"2006-02-15 04:34:33"
74,MILLA,NULL,KEITEL,"2006-02-15 04:34:33"
75,BURT,NULL,POSEY,"2006-02-15 04:34:33"
